"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"am-AMElar_Cryptodifflugia_operculata_",1.94629878768547,1.85799828264797,1.5052591206028,1.36243975431993,1.96935693831418,1.80197120214072,1.3003594331772,1.60702963217864,2.39498575485439,1.70588255662333,2.10042455382121,1.53410452048909,1.46443080766925,1.90098034780294,1.55864157142307,1.8083741326466,1.664014926961,1.66817981286726,1.57801422190014,1.42483400099862,1.79999657495621,1.36729212904965,1.57518336546823,1.49509169544934,1.62892460611272,1.60100579733605,2.23270448059084,1.28525666873128,1.99412657069494,1.57919866187549,1.56405474315997,1.4805416597009,1.58526083649578,1.48405497714197,2.09627578585078,1.71039771515778,1.52540120563988,1.31655183059569,2.10135045800667,1.72259752716671,1.87708116948137,1.33673107260646,1.37312585013219,1.51058350536698,1.69833127978118,1.59714295969052,1.76047095068756,1.90088641090605,1.70355120705558,1.68591025689326,1.64573683222273,1.93302291414627,1.43771234009535,1.71826255316272,1.77365229050937,1.60776407588333,1.35590547356002,1.73787636445963,1.66578485082396,1.33870153957836,1.83685850086346,1.66641728754674,1.75837582471342,1.90993943611381,2.05051643949118,2.04107955064776,1.26582051818922,1.4741678937975,1.34746397427364,1.43443281557025,1.1711742657632,1.59989447017129,1.71589770923488,1.84611253039333,1.29410928547869,1.46982386493447
"am-AMElar_Rhizamoeba_saxonica_",1.95195998709482,1.82043567768077,1.50535051810111,1.36262263042467,1.95390815858976,1.80341774085112,1.28013295975314,1.60875868003778,2.42134745050986,1.73998137566191,2.06917918956537,1.53763002600448,1.47421466837319,1.90449367539832,1.54840109577044,1.80642158724251,1.66459138024444,1.66679132905766,1.55662540116899,1.4332710308041,1.77535222828399,1.37559369452158,1.57721981010563,1.4986215885632,1.63012450570359,1.60208184017988,2.19558300743507,1.28627004332348,2.00920575019918,1.58113374166286,1.57052605620507,1.46345445839145,1.58995756845132,1.5028959582579,2.09873202266961,1.7228461106614,1.54314859634547,1.31686587735841,2.09062158667196,1.72348576729085,1.86293258948903,1.33979714105655,1.37444992695083,1.51297735685924,1.67348372030115,1.60084304929727,1.75662025721068,1.926595567241,1.69413675831152,1.68616429882318,1.62419756022301,1.94733484695921,1.43229684503926,1.69134200019177,1.77468535367206,1.6039404149359,1.36598310030419,1.73790762873308,1.69674402636835,1.34466954657557,1.82041992892693,1.6529328365566,1.7893042140922,1.89661093829114,2.05739949284047,2.03476800334252,1.27018183662693,1.47574358729274,1.36791881538864,1.43455950063388,1.16726867156778,1.60058689413169,1.71103368295586,1.79870516343462,1.28777944677298,1.47417071971624
"am-AMEumy_Clastostelium_recurvatum_",1.21159881602072,1.26682212558186,1.10532083437299,1.07088514328871,1.27159802977937,1.32127705754847,1.06253975779205,1.05645679951066,1.24302151531543,1.16537732146325,1.20225311367738,1.16749055517683,1.11291317342476,1.20859045920952,1.11708451316388,1.38364724786721,1.18899037539939,1.13183096248271,1.13577512849272,1.07152147511047,1.18850168984891,1.10327851015598,1.11175368148506,1.13562535848037,1.15323863062427,1.1265233750729,1.3383267377523,1.05852579239866,1.26384397665507,1.0895516138558,1.12628680556289,1.20025311743601,1.10450771400726,1.11388107146441,1.15142677898401,1.12108853890578,1.16071304866056,1.10462332331861,1.20487190053505,1.17282449828648,1.19018238592654,1.05925343482329,1.07510946001925,1.12823411794948,1.15576015135073,1.1446062236646,1.18203452872262,1.21806977626486,1.21418850116661,1.12561543972998,1.13480117375794,1.28328370873578,1.07313895082669,1.19038406229424,1.21417502698047,1.15003724319789,1.11774207204339,1.16952284484718,1.15801084208335,1.05997767917425,1.18510882531136,1.22958334234582,1.13070748110816,1.27668848063156,1.39219211935283,1.40928618068535,1.04764193831698,1.10513190554522,1.07947935461723,1.07541570928789,1.03518083356454,1.10445896619203,1.14619719160602,1.16231997203904,1.07127615058919,1.07177976063619
"am-AMVari_Cavostelium_apophysatum_",1.26827490358421,1.28681476229837,1.18252324405191,1.103902290472,1.34761595886725,1.31497629427584,1.11929153298617,1.10249818933039,1.41625099300193,1.29067589387555,1.2324817117383,1.22757850233859,1.09997272209749,1.26363535073068,1.13603461318365,1.35282441970217,1.40706074644943,1.23604389529542,1.08962629032419,1.09168585017349,1.22977420860977,1.09816764708391,1.17295990813048,1.18610103552807,1.18953508050354,1.21429805137673,1.3475468607156,1.0811618806997,1.25981121949651,1.10771984679428,1.14397360907194,1.2600955495443,1.13030398894882,1.16650059669595,1.21408383074185,1.20081068258504,1.26154981352216,1.1245094229804,1.19270476413883,1.3031575058859,1.30371372687154,1.05716019057284,1.08217845387173,1.23558286578443,1.32585354580698,1.29619628630331,1.28110639678612,1.29213747961653,1.25913404418139,1.20221905433482,1.23497621162812,1.37410232619502,1.08027157246771,1.33946082184308,1.29903675019322,1.12134288984468,1.16441075316449,1.21406722702915,1.1795474407925,1.09429890985784,1.26792958113445,1.24257881602363,1.21357068616105,1.33099395747699,1.48261466127626,1.43645983705197,1.07914873628281,1.1815535701038,1.0974606353158,1.13743050073693,1.05431829445305,1.14211194585749,1.25543852324836,1.21864153406755,1.07001510640685,1.13420621951394
"am-AMVari_Protostelium_nocturnum_",1.21289097118105,1.3581529201107,1.18847712298875,1.11178152423949,1.48792109976919,1.30063225786837,1.24075277912794,1.07571976027211,1.48994773692044,1.29328988687518,1.28828153153962,1.30361193893627,1.08996208479808,1.2138111852461,1.14468610556457,1.46055187869847,1.35683220978088,1.33447137888701,1.10010386730354,1.0900686859137,1.34497378983501,1.10488690936895,1.11395669523968,1.14684749967575,1.20004909979753,1.31818850667174,1.33724223962438,1.08408060543111,1.29834628935882,1.18704925775641,1.16146943720957,1.22530023515083,1.12937867914136,1.2527012945403,1.19174877753588,1.20965057282135,1.2720564243977,1.12745328728412,1.21831806033319,1.42204818398538,1.19046931004961,1.06433299948873,1.08907365161918,1.16628848853939,1.32894670829051,1.41216967196637,1.22455412560806,1.28230922739296,1.1913027115592,1.1244225921898,1.20765444800044,1.28462141856784,1.0709206662909,1.31566207746281,1.30794723810173,1.13929009743705,1.10240172009568,1.20501367334436,1.21609563751484,1.09002592076971,1.28310408345821,1.28598644449478,1.26953188941525,1.38810789381079,1.44115086184225,1.41723156905474,1.10604888535284,1.16992029236802,1.13350898607332,1.13926632050632,1.11017329518808,1.15298829211655,1.25160045978491,1.35415535697236,1.11888586183187,1.11866925848515
"am-FU_Allomyces_macrogynus_",1.32319751347698,1.25944778760924,1.30946090051432,1.09038787220597,1.49874331820729,1.47538923881175,1.05856760375453,1.27103043965018,1.53089161645981,1.23800306327078,1.8036966167643,1.30347024496123,1.45252633141597,1.17304865026445,1.60954467740376,1.28661694982034,1.39924641661948,1.36090004208293,1.24648089525478,1.20726150323502,1.36286037531669,1.18865011631719,1.19639709257933,1.23258167260583,1.072786930058,1.27346376645759,1.42304570766206,1.13662568214908,1.45193108193718,1.40097120247684,1.50144706737173,1.18459996042355,1.16563679431415,1.15076131842743,1.39427998283207,1.19444422929753,1.39694265150587,1.17361156332413,1.87719478049079,1.16032815000539,1.26140169771741,1.08935262205202,1.09775690397321,1.25557382685777,1.3708612045924,1.18939842829204,1.29239695067483,1.51616921754302,1.40694374156703,1.39710319131402,1.38668836733277,2.08793941903265,1.193467127474,1.29409405258117,1.38788453166389,1.26198893248682,1.13691940527468,1.54114653720639,1.38083041901366,1.13988563997266,1.32357800159777,1.23422046519481,1.29689511292252,1.33492788982202,1.34778646904219,1.25881714746663,1.06382222332027,1.22814510406378,1.14123024723111,1.53741301815225,1.0609854763169,1.22444180622099,1.47186244610912,1.25473387790089,1.16713747239837,1.1714222189323
"am-FU_Aspergillus_aculeatus_",1.40662785718342,1.4953017319191,1.27452757230297,1.12787239839682,1.33970302164811,1.69237298359711,1.07653130073213,1.32770133502342,1.49038932339157,1.43065376375158,1.39066068108516,1.41938324089621,1.21420529745351,1.31857602338669,1.3757203385504,1.58111094884551,1.50383893075587,1.38278907554629,1.28575786734859,1.22183693603942,1.33045283870133,1.23213990530387,1.25048657164017,1.17992611261516,1.2694543121016,1.17542648311788,1.7815857128098,1.20833113330821,1.48579576497854,1.32687787744889,1.47148143511121,1.2472954171974,1.25064068713307,1.13813243241771,1.39389208004899,1.22600647075539,1.35507605679251,1.20481230021046,1.6331451711573,1.19089523058334,1.35860296880965,1.11618454382881,1.11731500901214,1.23235023954937,1.28438147838457,1.2371605039866,1.39630093645177,1.47602406290933,1.42262853176561,1.31218835682751,1.27893811889465,1.35653999990583,1.26511622973129,1.28037254949374,1.50838417492226,1.32074122916875,1.17411527185667,1.44606965638265,1.42961249177603,1.09828467632488,1.24623267628241,1.26319964014634,1.37710119038507,1.38670387196165,1.37491124005012,1.29661027186347,1.09695444260297,1.18350954817468,1.21939428705616,1.19000839606097,1.08044017816723,1.21142122838146,1.31915256982359,1.3610688101998,1.18826842422243,1.22088743086532
"am-FU_Aspergillus_nidulans_",1.40662785718342,1.4953017319191,1.27452757230297,1.12787239839682,1.33970302164811,1.69237298359711,1.07653130073213,1.32770133502342,1.49038932339157,1.43065376375158,1.39066068108516,1.41938324089621,1.21420529745351,1.31857602338669,1.3757203385504,1.58111094884551,1.50383893075587,1.38278907554629,1.28575786734859,1.22183693603942,1.33045283870133,1.23213990530387,1.25048657164017,1.17992611261516,1.2694543121016,1.17542648311788,1.7815857128098,1.20833113330821,1.48579576497854,1.32687787744889,1.47148143511121,1.2472954171974,1.25064068713307,1.13813243241771,1.39389208004899,1.22600647075539,1.35507605679251,1.20481230021046,1.6331451711573,1.19089523058334,1.35860296880965,1.11618454382881,1.11731500901214,1.23235023954937,1.28438147838457,1.2371605039866,1.39630093645177,1.47602406290933,1.42262853176561,1.31218835682751,1.27893811889465,1.35653999990583,1.26511622973129,1.28037254949374,1.50838417492226,1.32074122916875,1.17411527185667,1.44606965638265,1.42961249177603,1.09828467632488,1.24623267628241,1.26319964014634,1.37710119038507,1.38670387196165,1.37491124005012,1.29661027186347,1.09695444260297,1.18350954817468,1.21939428705616,1.19000839606097,1.08044017816723,1.21142122838146,1.31915256982359,1.3610688101998,1.18826842422243,1.22088743086532
"am-FU_Batrachochytrium_dendrobatidis_",1.31504239780808,1.17391902223382,1.07981389451749,1.10232874426935,1.18131262789172,1.28321756394363,1.04431692515302,1.14288213397138,1.20793988949371,1.13713004997353,1.29316396663007,1.19817493651137,1.14493142763812,1.1784068383644,1.30259841650335,1.21565986972311,1.28361165344768,1.08945864396435,1.11832535535603,1.12506709032812,1.15282789987154,1.10103282845647,1.1216259534406,1.17073981499991,1.13872997264874,1.08274342947035,1.84302193116541,1.07715129447909,1.2513797810499,1.12656744903351,1.20258650654883,1.09708092002128,1.10657743904893,1.0968664143888,1.237474823449,1.1610828430062,1.15611240676331,1.09355217326609,1.46047364638102,1.11006183713068,1.20971881777365,1.05557733228904,1.07314130322393,1.1256774989656,1.16709687233308,1.12930307154762,1.14457660367557,1.21645972524656,1.20255552388387,1.13142685813112,1.16800831333696,1.48801158851865,1.16247980571505,1.20677274952471,1.23888378410001,1.16036249247011,1.15529933003158,1.33580243297255,1.23912729866523,1.05657974490302,1.11420082625232,1.17433309470416,1.18648588111336,1.26929601920484,1.1967102783634,1.10277355085005,1.05518613242484,1.10353823292973,1.07943670047208,1.07920106118324,1.02781097354464,1.10835062538522,1.11841981965791,1.1126520590311,1.04871098915429,1.08510707009198
"am-FU_Catenaria_anguillulae_",1.32319751347698,1.25944778760924,1.30946090051432,1.09038787220597,1.49874331820729,1.47538923881175,1.05856760375453,1.27103043965018,1.53089161645981,1.23800306327078,1.8036966167643,1.30347024496123,1.45252633141597,1.17304865026445,1.60954467740376,1.28661694982034,1.39924641661948,1.36090004208293,1.24648089525478,1.20726150323502,1.36286037531669,1.18865011631719,1.19639709257933,1.23258167260583,1.072786930058,1.27346376645759,1.42304570766206,1.13662568214908,1.45193108193718,1.40097120247684,1.50144706737173,1.18459996042355,1.16563679431415,1.15076131842743,1.39427998283207,1.19444422929753,1.39694265150587,1.17361156332413,1.87719478049079,1.16032815000539,1.26140169771741,1.08935262205202,1.09775690397321,1.25557382685777,1.3708612045924,1.18939842829204,1.29239695067483,1.51616921754302,1.40694374156703,1.39710319131402,1.38668836733277,2.08793941903265,1.193467127474,1.29409405258117,1.38788453166389,1.26198893248682,1.13691940527468,1.54114653720639,1.38083041901366,1.13988563997266,1.32357800159777,1.23422046519481,1.29689511292252,1.33492788982202,1.34778646904219,1.25881714746663,1.06382222332027,1.22814510406378,1.14123024723111,1.53741301815225,1.0609854763169,1.22444180622099,1.47186244610912,1.25473387790089,1.16713747239837,1.1714222189323
